DateTime,Temperature,RainProbability,WeatherCode,WindSpeed,Date,WeatherDescription,RaceName
2026-09-26 09:00:00,22.6,0,1.0,25.8,2026-09-26,Mainly clear,Azerbaijan Grand Prix
2026-09-26 10:00:00,23.6,0,1.0,26.8,2026-09-26,Mainly clear,Azerbaijan Grand Prix
2026-09-26 11:00:00,24.4,0,1.0,26.7,2026-09-26,Mainly clear,Azerbaijan Grand Prix
2026-09-26 12:00:00,25.2,0,1.0,26.3,2026-09-26,Mainly clear,Azerbaijan Grand Prix
2026-09-26 13:00:00,25.8,0,1.0,25.2,2026-09-26,Mainly clear,Azerbaijan Grand Prix
2026-09-26 14:00:00,26.3,0,1.0,20.3,2026-09-26,Mainly clear,Azerbaijan Grand Prix
2026-09-26 15:00:00,26.6,0,1.0,16.1,2026-09-26,Mainly clear,Azerbaijan Grand Prix
2026-09-26 16:00:00,26.9,0,1.0,13.1,2026-09-26,Mainly clear,Azerbaijan Grand Prix
2026-09-26 17:00:00,26.8,0,1.0,10.2,2026-09-26,Mainly clear,Azerbaijan Grand Prix
2026-09-26 18:00:00,25.9,0,1.0,9.6,2026-09-26,Mainly clear,Azerbaijan Grand Prix
2026-09-26 19:00:00,24.9,0,1.0,9.0,2026-09-26,Mainly clear,Azerbaijan Grand Prix
2026-09-26 20:00:00,23.9,0,0.0,8.8,2026-09-26,Clear,Azerbaijan Grand Prix
2026-09-26 21:00:00,23.0,0,0.0,9.0,2026-09-26,Clear,Azerbaijan Grand Prix
2026-09-26 22:00:00,22.3,0,0.0,9.3,2026-09-26,Clear,Azerbaijan Grand Prix
2026-09-26 23:00:00,21.9,0,0.0,9.1,2026-09-26,Clear,Azerbaijan Grand Prix
