X,Y,Point,RaceName,SourceYear
1639.0,3455.0,99,Azerbaijan Grand Prix,2025
1622.5325371394172,3448.9955151695476,100,Azerbaijan Grand Prix,2025
1557.0,3425.0,101,Azerbaijan Grand Prix,2025
1520.6997755323844,3411.763550619842,102,Azerbaijan Grand Prix,2025
1370.0,3357.0,103,Azerbaijan Grand Prix,2025
1350.1782693985738,3349.792082216645,104,Azerbaijan Grand Prix,2025
1202.0,3295.0,105,Azerbaijan Grand Prix,2025
1201.2451814308556,3294.7171950762686,106,Azerbaijan Grand Prix,2025
989.0,3215.0,107,Azerbaijan Grand Prix,2025
938.3644526989021,3195.919652554527,108,Azerbaijan Grand Prix,2025
896.0,3180.0,109,Azerbaijan Grand Prix,2025
866.4620846796867,3168.9764821993626,110,Azerbaijan Grand Prix,2025
751.0,3126.0,111,Azerbaijan Grand Prix,2025
737.6165079554343,3121.0306513243477,112,Azerbaijan Grand Prix,2025
603.0,3071.0,113,Azerbaijan Grand Prix,2025
564.792144567287,3056.640573792618,114,Azerbaijan Grand Prix,2025
437.0,3009.0,115,Azerbaijan Grand Prix,2025
436.35223255057446,3008.766380673531,116,Azerbaijan Grand Prix,2025
398.0,2995.0,117,Azerbaijan Grand Prix,2025
201.0,2920.0,118,Azerbaijan Grand Prix,2025
176.19544430414734,2910.590485301496,119,Azerbaijan Grand Prix,2025
43.020021119933666,2860.7654089629004,120,Azerbaijan Grand Prix,2025
25.0,2854.0,121,Azerbaijan Grand Prix,2025
-222.0,2761.0,122,Azerbaijan Grand Prix,2025
-290.4167404218125,2735.447187186505,123,Azerbaijan Grand Prix,2025
-349.0,2714.0,124,Azerbaijan Grand Prix,2025
-372.3261823725446,2705.3395037853284,125,Azerbaijan Grand Prix,2025
-477.0,2666.0,126,Azerbaijan Grand Prix,2025
-567.3073616801173,2631.127301908769,127,Azerbaijan Grand Prix,2025
-765.0,2553.0,128,Azerbaijan Grand Prix,2025
-851.8523435216637,2517.8617600043117,129,Azerbaijan Grand Prix,2025
-931.6328135574126,2484.6284376091653,130,Azerbaijan Grand Prix,2025
-969.0,2469.0,131,Azerbaijan Grand Prix,2025
-1057.0,2432.0,132,Azerbaijan Grand Prix,2025
-1103.2252418040737,2412.163899453435,133,Azerbaijan Grand Prix,2025
-1263.0,2342.0,134,Azerbaijan Grand Prix,2025
-1278.2422731390727,2335.3187010273505,135,Azerbaijan Grand Prix,2025
-1412.0,2277.0,136,Azerbaijan Grand Prix,2025
-1535.3909904716797,2223.5753172541913,137,Azerbaijan Grand Prix,2025
-1669.0,2166.0,138,Azerbaijan Grand Prix,2025
-1723.0978554337191,2142.8060952405417,139,Azerbaijan Grand Prix,2025
-1881.8197117877394,2074.8337090162154,140,Azerbaijan Grand Prix,2025
-1916.0,2060.0,141,Azerbaijan Grand Prix,2025
-2118.0,1972.0,142,Azerbaijan Grand Prix,2025
-2198.958256168947,1937.0815176476754,143,Azerbaijan Grand Prix,2025
-2274.0,1905.0,144,Azerbaijan Grand Prix,2025
-2435.05197125586,1835.5855045568628,145,Azerbaijan Grand Prix,2025
-2557.0,1783.0,146,Azerbaijan Grand Prix,2025
-2731.9490224263654,1707.7431833272306,147,Azerbaijan Grand Prix,2025
-2764.0,1694.0,148,Azerbaijan Grand Prix,2025
-2953.3799687580486,1613.0062376120009,149,Azerbaijan Grand Prix,2025
-2988.0,1598.0,150,Azerbaijan Grand Prix,2025
-3280.316289172447,1470.1980288339398,151,Azerbaijan Grand Prix,2025
-3324.0,1451.0,152,Azerbaijan Grand Prix,2025
-3631.0,1315.0,153,Azerbaijan Grand Prix,2025
-3642.5795219185375,1309.851356529776,154,Azerbaijan Grand Prix,2025
-3777.0,1250.0,155,Azerbaijan Grand Prix,2025
-3848.554559715486,1218.035945147789,156,Azerbaijan Grand Prix,2025
-4039.0,1133.0,157,Azerbaijan Grand Prix,2025
-4056.754939466301,1125.092771012534,158,Azerbaijan Grand Prix,2025
-4219.0,1053.0,159,Azerbaijan Grand Prix,2025
-4334.0,1002.0,160,Azerbaijan Grand Prix,2025
-4353.163454853967,993.5143687428449,161,Azerbaijan Grand Prix,2025
-4596.0,886.0,162,Azerbaijan Grand Prix,2025
-4704.289421471203,837.7076197363208,163,Azerbaijan Grand Prix,2025
-4848.957571573986,772.7058712183841,164,Azerbaijan Grand Prix,2025
-4902.0,749.0,165,Azerbaijan Grand Prix,2025
-5004.0,704.0,166,Azerbaijan Grand Prix,2025
-5004.489903237162,703.7831110804209,167,Azerbaijan Grand Prix,2025
-5129.1562519000945,648.2593774429167,168,Azerbaijan Grand Prix,2025
-5198.0,617.0,169,Azerbaijan Grand Prix,2025
-5317.880298105191,561.2258619278504,170,Azerbaijan Grand Prix,2025
-5346.0,548.0,171,Azerbaijan Grand Prix,2025
-5381.08044958185,531.3288483804341,172,Azerbaijan Grand Prix,2025
-5403.0,519.0,173,Azerbaijan Grand Prix,2025
-5443.749606739438,494.29231661651073,174,Azerbaijan Grand Prix,2025
-5474.0,474.0,175,Azerbaijan Grand Prix,2025
-5525.544662026749,429.45801127001164,176,Azerbaijan Grand Prix,2025
-5544.0,408.0,177,Azerbaijan Grand Prix,2025
-5560.81301277961,384.43160822168176,178,Azerbaijan Grand Prix,2025
-5569.0,370.0,179,Azerbaijan Grand Prix,2025
-5586.0,312.0,180,Azerbaijan Grand Prix,2025
-5586.03022787416,311.7172557197578,181,Azerbaijan Grand Prix,2025
-5587.0,283.0,182,Azerbaijan Grand Prix,2025
-5579.1397899249805,229.66013140432622,183,Azerbaijan Grand Prix,2025
-5567.0,188.0,184,Azerbaijan Grand Prix,2025
-5546.0,133.0,185,Azerbaijan Grand Prix,2025
-5545.8699577459665,132.69324588696531,186,Azerbaijan Grand Prix,2025
-5523.212839896814,83.2587061398109,187,Azerbaijan Grand Prix,2025
-5505.0,47.0,188,Azerbaijan Grand Prix,2025
-5476.0,-8.0,189,Azerbaijan Grand Prix,2025
-5472.667768984213,-14.441093214372476,190,Azerbaijan Grand Prix,2025
-5439.0,-81.0,191,Azerbaijan Grand Prix,2025
-5419.623141492518,-119.11765637672633,192,Azerbaijan Grand Prix,2025
-5408.0,-145.0,193,Azerbaijan Grand Prix,2025
-5348.0,-298.0,194,Azerbaijan Grand Prix,2025
-5344.230222474083,-308.02292802083025,195,Azerbaijan Grand Prix,2025
-5321.0,-379.0,196,Azerbaijan Grand Prix,2025
-5306.956529371678,-425.7269397066661,197,Azerbaijan Grand Prix,2025
-5298.0,-455.0,198,Azerbaijan Grand Prix,2025
-5276.236430235318,-523.6739582027642,199,Azerbaijan Grand Prix,2025
-5256.0,-583.0,200,Azerbaijan Grand Prix,2025
-5222.103408886029,-674.7082514865908,201,Azerbaijan Grand Prix,2025
-5183.0,-773.0,202,Azerbaijan Grand Prix,2025
-5170.612324437798,-802.2921252669333,203,Azerbaijan Grand Prix,2025
-5131.0,-890.0,204,Azerbaijan Grand Prix,2025
-5100.6866441948505,-955.0055321145453,205,Azerbaijan Grand Prix,2025
-5081.0,-997.0,206,Azerbaijan Grand Prix,2025
-5025.24608509141,-1116.1283408074016,207,Azerbaijan Grand Prix,2025
-5005.0,-1160.0,208,Azerbaijan Grand Prix,2025
-4970.199614234823,-1236.1747709838303,209,Azerbaijan Grand Prix,2025
-4946.0,-1290.0,210,Azerbaijan Grand Prix,2025
-4935.900543380527,-1313.10705515764,211,Azerbaijan Grand Prix,2025
-4918.0,-1359.0,212,Azerbaijan Grand Prix,2025
-4913.679888577185,-1370.8069284576168,213,Azerbaijan Grand Prix,2025
-4883.30785685249,-1456.3452778969163,214,Azerbaijan Grand Prix,2025
-4879.0,-1469.0,215,Azerbaijan Grand Prix,2025
-4864.489063535333,-1515.5866042235737,216,Azerbaijan Grand Prix,2025
-4860.0,-1537.0,217,Azerbaijan Grand Prix,2025
-4852.985795443688,-1583.9351052998547,218,Azerbaijan Grand Prix,2025
-4848.0,-1628.0,219,Azerbaijan Grand Prix,2025
-4845.918218060029,-1663.0854133417051,220,Azerbaijan Grand Prix,2025
-4850.076160382818,-1680.1861412900798,221,Azerbaijan Grand Prix,2025
-4853.0,-1690.0,222,Azerbaijan Grand Prix,2025
-4870.665106730322,-1742.7652404141156,223,Azerbaijan Grand Prix,2025
-4875.0,-1752.0,224,Azerbaijan Grand Prix,2025
-4890.877911579241,-1777.879063501651,225,Azerbaijan Grand Prix,2025
-4903.0,-1793.0,226,Azerbaijan Grand Prix,2025
-4931.5483704231265,-1820.4125404491856,227,Azerbaijan Grand Prix,2025
-4951.0,-1836.0,228,Azerbaijan Grand Prix,2025
-4985.0,-1860.0,229,Azerbaijan Grand Prix,2025
-4989.795417456071,-1862.9349150726996,230,Azerbaijan Grand Prix,2025
-5013.0,-1876.0,231,Azerbaijan Grand Prix,2025
-5044.471145352277,-1892.519852134359,232,Azerbaijan Grand Prix,2025
-5111.0,-1923.0,233,Azerbaijan Grand Prix,2025
-5144.817921276526,-1937.3395549373886,234,Azerbaijan Grand Prix,2025
-5195.0,-1958.0,235,Azerbaijan Grand Prix,2025
-5245.255604905353,-1976.9188345718592,236,Azerbaijan Grand Prix,2025
-5276.0,-1988.0,237,Azerbaijan Grand Prix,2025
-5333.0,-2009.0,238,Azerbaijan Grand Prix,2025
-5376.116210276482,-2024.0474834267527,239,Azerbaijan Grand Prix,2025
-5415.0,-2038.0,240,Azerbaijan Grand Prix,2025
-5522.10917658273,-2080.2496132484725,241,Azerbaijan Grand Prix,2025
-5577.0,-2103.0,242,Azerbaijan Grand Prix,2025
-5646.577057829955,-2133.3194737216704,243,Azerbaijan Grand Prix,2025
-5733.0,-2172.0,244,Azerbaijan Grand Prix,2025
-5747.317282416281,-2178.3636751105096,245,Azerbaijan Grand Prix,2025
-5880.0,-2237.0,246,Azerbaijan Grand Prix,2025
-5952.6657335352575,-2267.624459413592,247,Azerbaijan Grand Prix,2025
-5973.0,-2276.0,248,Azerbaijan Grand Prix,2025
-6114.261325728155,-2334.9370554660104,249,Azerbaijan Grand Prix,2025
-6124.0,-2339.0,250,Azerbaijan Grand Prix,2025
-6217.871690325947,-2378.7765134901006,251,Azerbaijan Grand Prix,2025
-6257.0,-2397.0,252,Azerbaijan Grand Prix,2025
-6418.0699467066415,-2477.0491011935865,253,Azerbaijan Grand Prix,2025
-6459.0,-2498.0,254,Azerbaijan Grand Prix,2025
-6503.785409556617,-2521.63652936979,255,Azerbaijan Grand Prix,2025
-6550.0,-2549.0,256,Azerbaijan Grand Prix,2025
-6559.388284589665,-2554.518246217788,257,Azerbaijan Grand Prix,2025
-6686.0,-2629.0,258,Azerbaijan Grand Prix,2025
-6744.772781894182,-2664.588516097169,259,Azerbaijan Grand Prix,2025
-6801.0,-2699.0,260,Azerbaijan Grand Prix,2025
-6858.477574107411,-2734.095790567476,261,Azerbaijan Grand Prix,2025
-6971.478193597573,-2802.312735259962,262,Azerbaijan Grand Prix,2025
-6993.0,-2815.0,263,Azerbaijan Grand Prix,2025
-7112.0,-2883.0,264,Azerbaijan Grand Prix,2025
-7189.012060929362,-2924.977120036358,265,Azerbaijan Grand Prix,2025
-7241.0,-2953.0,266,Azerbaijan Grand Prix,2025
-7344.981544770944,-3009.6525163098595,267,Azerbaijan Grand Prix,2025
-7379.0,-3029.0,268,Azerbaijan Grand Prix,2025
-7412.438093578153,-3048.6815352397903,269,Azerbaijan Grand Prix,2025
-7445.0,-3069.0,270,Azerbaijan Grand Prix,2025
-7515.172535167915,-3117.5818300297215,271,Azerbaijan Grand Prix,2025
-7566.0,-3156.0,272,Azerbaijan Grand Prix,2025
-7611.403161318584,-3196.397924691138,273,Azerbaijan Grand Prix,2025
-7615.0,-3200.0,274,Azerbaijan Grand Prix,2025
-7688.0,-3288.0,275,Azerbaijan Grand Prix,2025
-7696.736182058578,-3302.8442831080492,276,Azerbaijan Grand Prix,2025
-7736.0,-3391.0,277,Azerbaijan Grand Prix,2025
-7741.588270215554,-3413.3415376137527,278,Azerbaijan Grand Prix,2025
-7744.347383325189,-3464.779442819534,279,Azerbaijan Grand Prix,2025
-7743.0,-3496.0,280,Azerbaijan Grand Prix,2025
-7742.53041807624,-3509.504093060196,281,Azerbaijan Grand Prix,2025
-7734.0,-3539.0,282,Azerbaijan Grand Prix,2025
-7722.458546295703,-3567.0129600039736,283,Azerbaijan Grand Prix,2025
-7686.0,-3650.0,284,Azerbaijan Grand Prix,2025
-7666.513854421867,-3689.497512514749,285,Azerbaijan Grand Prix,2025
-7657.0,-3708.0,286,Azerbaijan Grand Prix,2025
-7647.948634044626,-3726.4397953556204,287,Azerbaijan Grand Prix,2025
-7631.0,-3764.0,288,Azerbaijan Grand Prix,2025
-7625.270532252825,-3779.213307247327,289,Azerbaijan Grand Prix,2025
-7613.0,-3822.0,290,Azerbaijan Grand Prix,2025
-7611.934110486694,-3826.63643577021,291,Azerbaijan Grand Prix,2025
-7607.0,-3865.0,292,Azerbaijan Grand Prix,2025
-7614.82453326497,-3913.062108996779,293,Azerbaijan Grand Prix,2025
-7623.0,-3940.0,294,Azerbaijan Grand Prix,2025
-7635.844798797922,-3967.656657128253,295,Azerbaijan Grand Prix,2025
-7653.955045959779,-3989.4096852139332,296,Azerbaijan Grand Prix,2025
-7666.0,-4002.0,297,Azerbaijan Grand Prix,2025
-7706.0,-4040.0,298,Azerbaijan Grand Prix,2025
-7715.429431502228,-4047.915058062671,299,Azerbaijan Grand Prix,2025
-7748.0,-4073.0,300,Azerbaijan Grand Prix,2025
-7763.060943273009,-4083.945860091629,301,Azerbaijan Grand Prix,2025
-7798.0,-4108.0,302,Azerbaijan Grand Prix,2025
-7837.352415074341,-4133.192136983778,303,Azerbaijan Grand Prix,2025
-7866.0,-4151.0,304,Azerbaijan Grand Prix,2025
-7909.045820367406,-4177.553505293609,305,Azerbaijan Grand Prix,2025
-7954.0,-4205.0,306,Azerbaijan Grand Prix,2025
-7990.707584603444,-4227.402396299543,307,Azerbaijan Grand Prix,2025
-7998.0,-4232.0,308,Azerbaijan Grand Prix,2025
-8064.946592126258,-4276.154661680125,309,Azerbaijan Grand Prix,2025
-8091.0,-4294.0,310,Azerbaijan Grand Prix,2025
-8157.1561704140295,-4341.825411624621,311,Azerbaijan Grand Prix,2025
-8164.0,-4347.0,312,Azerbaijan Grand Prix,2025
-8232.0,-4400.0,313,Azerbaijan Grand Prix,2025
-8247.342372937728,-4412.234891751802,314,Azerbaijan Grand Prix,2025
-8334.0,-4482.0,315,Azerbaijan Grand Prix,2025
-8385.386159336245,-4522.642333164336,316,Azerbaijan Grand Prix,2025
-8486.0,-4601.0,317,Azerbaijan Grand Prix,2025
-8539.167898263882,-4641.625864655523,318,Azerbaijan Grand Prix,2025
-8633.833745971926,-4712.821940835411,319,Azerbaijan Grand Prix,2025
-8650.0,-4725.0,320,Azerbaijan Grand Prix,2025
-8746.71236738049,-4798.272463246321,321,Azerbaijan Grand Prix,2025
-8804.0,-4841.0,322,Azerbaijan Grand Prix,2025
-8814.038952013556,-4848.4270925392575,323,Azerbaijan Grand Prix,2025
-8854.0,-4878.0,324,Azerbaijan Grand Prix,2025
-8895.187484350678,-4908.913720154256,325,Azerbaijan Grand Prix,2025
